time  , ex  , ey  , ealpha  , evx ,  evy , eomega  
0.000000  ,  0.000000,  0.000000,  0.000000,  -0.999997,  0.000000,  -0.500000
0.000284  ,  -0.000201,  -0.000201,  -0.000142,  -0.723960,  0.000000,  -0.341703
0.001705  ,  -0.000927,  -0.000928,  -0.000627,  -0.522017,  0.000000,  -0.230491
0.008810  ,  -0.003530,  -0.003552,  -0.002258,  -0.371998,  0.000000,  -0.151727
0.044333  ,  -0.012508,  -0.012929,  -0.007531,  -0.250590,  0.000000,  -0.091331
0.094333  ,  -0.020568,  -0.022108,  -0.011957,  -0.150543,  0.000000,  -0.044813
0.144333  ,  -0.025016,  -0.027959,  -0.014129,  -0.070874,  0.000000,  -0.010775
0.194333  ,  -0.026725,  -0.031025,  -0.014653,  -0.009944,  0.000000,  0.012583
0.244333  ,  -0.026470,  -0.031842,  -0.014045,  0.034335,  0.000000,  0.027213
0.294333  ,  -0.024905,  -0.030927,  -0.012730,  0.064309,  0.000000,  0.035041
0.344333  ,  -0.022558,  -0.028757,  -0.011036,  0.082409,  0.000000,  0.037829
0.394333  ,  -0.019839,  -0.025756,  -0.009206,  0.091018,  0.000000,  0.037105
0.444333  ,  -0.017048,  -0.022287,  -0.007412,  0.092357,  0.000000,  0.034125
0.494333  ,  -0.014390,  -0.018646,  -0.005762,  0.088418,  0.000000,  0.029872
0.544333  ,  -0.011996,  -0.015064,  -0.004317,  0.080918,  0.000000,  0.025080
0.594333  ,  -0.009931,  -0.011709,  -0.003104,  0.071284,  0.000000,  0.020264
0.644333  ,  -0.008220,  -0.008693,  -0.002124,  0.060652,  0.000000,  0.015760
0.694333  ,  -0.006853,  -0.006081,  -0.001362,  0.049891,  0.000000,  0.011766
0.744333  ,  -0.005801,  -0.003897,  -0.000792,  0.039625,  0.000000,  0.008373
0.794333  ,  -0.005022,  -0.002137,  -0.000387,  0.030271,  0.000000,  0.005601
0.844333  ,  -0.004470,  -0.000775,  -0.000116,  0.022073,  0.000000,  0.003420
0.894333  ,  -0.004101,  0.000231,  0.000050,  0.015141,  0.000000,  0.001769
0.944333  ,  -0.003870,  0.000928,  0.000135,  0.009480,  0.000000,  0.000575
0.994333  ,  -0.003741,  0.001370,  0.000163,  0.005022,  0.000000,  -0.000243
1.044333  ,  -0.003682,  0.001606,  0.000152,  0.001652,  0.000000,  -0.000760
1.094333  ,  -0.003669,  0.001685,  0.000115,  -0.000772,  0.000000,  -0.001046
1.144333  ,  -0.003682,  0.001649,  0.000065,  -0.002405,  0.000000,  -0.001163
1.194333  ,  -0.003707,  0.001535,  0.000008,  -0.003396,  0.000000,  -0.001161
1.244333  ,  -0.003735,  0.001372,  -0.000048,  -0.003890,  0.000000,  -0.001081
1.294333  ,  -0.003759,  0.001185,  -0.000100,  -0.004014,  0.000000,  -0.000956
1.344333  ,  -0.003778,  0.000990,  -0.000146,  -0.003876,  0.000000,  -0.000809
1.394333  ,  -0.003789,  0.000802,  -0.000185,  -0.003567,  0.000000,  -0.000657
1.444333  ,  -0.003792,  0.000629,  -0.000217,  -0.003160,  0.000000,  -0.000512
1.494333  ,  -0.003788,  0.000475,  -0.000242,  -0.002709,  0.000000,  -0.000381
1.544333  ,  -0.003779,  0.000343,  -0.000260,  -0.002256,  0.000000,  -0.000268
1.594333  ,  -0.003766,  0.000233,  -0.000273,  -0.001828,  0.000000,  -0.000174
1.644333  ,  -0.003750,  0.000144,  -0.000282,  -0.001442,  0.000000,  -0.000099
1.694333  ,  -0.003732,  0.000074,  -0.000287,  -0.001108,  0.000000,  -0.000041
1.744333  ,  -0.003714,  0.000022,  -0.000289,  -0.000830,  0.000000,  0.000002
1.794333  ,  -0.003695,  -0.000017,  -0.000289,  -0.000606,  0.000000,  0.000031
1.844333  ,  -0.003677,  -0.000045,  -0.000287,  -0.000433,  0.000000,  0.000050
