time  , u_vx  , u_omega  
0.000000  ,  0.000003,  0.000000  
0.000284  ,  0.276040,  0.158297  
0.001705  ,  0.477983,  0.269509  
0.008810  ,  0.628002,  0.348273  
0.044333  ,  0.749410,  0.408669  
0.094333  ,  0.849457,  0.455187  
0.144333  ,  0.929126,  0.489225  
0.194333  ,  0.990056,  0.512583  
0.244333  ,  1.034335,  0.527213  
0.294333  ,  1.064309,  0.535041  
0.344333  ,  1.082409,  0.537829  
0.394333  ,  1.091018,  0.537105  
0.444333  ,  1.092357,  0.534125  
0.494333  ,  1.088418,  0.529872  
0.544333  ,  1.080918,  0.525080  
0.594333  ,  1.071284,  0.520264  
0.644333  ,  1.060652,  0.515760  
0.694333  ,  1.049891,  0.511766  
0.744333  ,  1.039625,  0.508373  
0.794333  ,  1.030271,  0.505601  
0.844333  ,  1.022073,  0.503420  
0.894333  ,  1.015141,  0.501769  
0.944333  ,  1.009480,  0.500575  
0.994333  ,  1.005022,  0.499757  
1.044333  ,  1.001652,  0.499240  
1.094333  ,  0.999228,  0.498954  
1.144333  ,  0.997595,  0.498837  
1.194333  ,  0.996604,  0.498839  
1.244333  ,  0.996110,  0.498919  
1.294333  ,  0.995986,  0.499044  
1.344333  ,  0.996124,  0.499191  
1.394333  ,  0.996433,  0.499343  
1.444333  ,  0.996840,  0.499488  
1.494333  ,  0.997291,  0.499619  
1.544333  ,  0.997744,  0.499732  
1.594333  ,  0.998172,  0.499826  
1.644333  ,  0.998558,  0.499901  
1.694333  ,  0.998892,  0.499959  
1.744333  ,  0.999170,  0.500002  
1.794333  ,  0.999394,  0.500031  
1.844333  ,  0.999567,  0.500050  
1.894333  ,  0.999696,  0.500060  
1.944333  ,  0.999786,  0.500064  
1.994333  ,  0.999844,  0.500062  
2.044333  ,  0.999877,  0.500058  
2.094333  ,  0.999890,  0.500051  
2.144333  ,  0.999888,  0.500043  
2.194333  ,  0.999876,  0.500034  
2.244333  ,  0.999856,  0.500026  
2.294333  ,  0.999832,  0.500017  
2.344333  ,  0.999806,  0.500010  
2.394333  ,  0.999779,  0.500002  
2.444333  ,  0.999752,  0.499996  
2.494333  ,  0.999726,  0.499990  
2.544333  ,  0.999701,  0.499985  
2.594333  ,  0.999677,  0.499981  
2.644333  ,  0.999655,  0.499977  
2.694333  ,  0.999633,  0.499973  
2.744333  ,  0.999612,  0.499970  
