time  , u_vx  , u_omega  
0.000000  ,  0.000003,  -0.938946  
0.000284  ,  0.316596,  -1.573411  
0.001705  ,  0.534386,  -1.253448  
0.008810  ,  0.688559,  -0.560892  
0.044333  ,  0.815061,  0.210305  
0.094333  ,  0.925540,  0.901529  
0.144333  ,  1.021394,  1.433289  
0.194333  ,  1.105749,  1.772291  
0.244333  ,  1.182830,  1.920256  
0.294333  ,  1.257278,  1.901321  
0.344333  ,  1.333506,  1.746584  
0.394333  ,  1.415175,  1.497477  
0.444333  ,  1.504852,  1.193651  
0.494333  ,  1.603875,  0.858203  
0.544333  ,  1.712327,  0.508942  
0.594333  ,  1.829075,  0.160478  
0.644333  ,  1.951838,  -0.176652  
0.694333  ,  2.077258,  -0.494122  
0.744333  ,  2.201021,  -0.784449  
0.794333  ,  2.318029,  -1.040398  
0.844333  ,  2.422683,  -1.255143  
0.894333  ,  2.509292,  -1.422925  
0.944333  ,  2.572581,  -1.539896  
0.994333  ,  2.608274,  -1.604809  
1.044333  ,  2.613617,  -1.619376  
1.094333  ,  2.587771,  -1.588196  
1.144333  ,  2.531955,  -1.518287  
1.194333  ,  2.449321,  -1.418335  
1.244333  ,  2.344581,  -1.297798  
1.294333  ,  2.223463,  -1.166035  
1.344333  ,  2.092111,  -1.031551  
1.394333  ,  1.956521,  -0.901457  
1.444333  ,  1.822089,  -0.781144  
1.494333  ,  1.693308,  -0.674172  
1.544333  ,  1.573619,  -0.582337  
1.594333  ,  1.465383,  -0.505878  
1.644333  ,  1.369959,  -0.443802  
1.694333  ,  1.287839,  -0.394260  
1.744333  ,  1.218815,  -0.354948  
1.794333  ,  1.162154,  -0.323457  
1.844333  ,  1.116765,  -0.297564  
1.894333  ,  1.081342,  -0.275408  
1.944333  ,  1.054486,  -0.255585  
1.994333  ,  1.034800,  -0.237146  
2.044333  ,  1.020954,  -0.219551  
2.094333  ,  1.011734,  -0.202579  
2.144333  ,  1.006069,  -0.186234  
2.194333  ,  1.003041,  -0.170649  
2.244333  ,  1.001888,  -0.156017  
2.294333  ,  1.001993,  -0.142526  
2.344333  ,  1.002876,  -0.130326  
2.394333  ,  1.004170,  -0.119509  
2.444333  ,  1.005612,  -0.110099  
2.494333  ,  1.007017,  -0.102062  
2.544333  ,  1.008268,  -0.095310  
2.594333  ,  1.009299,  -0.089718  
2.644333  ,  1.010079,  -0.085137  
2.694333  ,  1.010608,  -0.081406  
2.744333  ,  1.010899,  -0.078367  
2.794333  ,  1.010981,  -0.075866  
2.844333  ,  1.010885,  -0.073768  
2.894333  ,  1.010645,  -0.071955  
2.944333  ,  1.010294,  -0.070328  
2.994333  ,  1.009863,  -0.068809  
3.044333  ,  1.009378,  -0.067342  
3.094333  ,  1.008863,  -0.065882  
3.144333  ,  1.008335,  -0.064405  
3.194333  ,  1.007808,  -0.062895  
3.244333  ,  1.007294,  -0.061347  
3.294333  ,  1.006801,  -0.059761  
3.344333  ,  1.006332,  -0.058145  
3.394333  ,  1.005893,  -0.056507  
3.444333  ,  1.005483,  -0.054859  
3.494333  ,  1.005103,  -0.053211  
3.544333  ,  1.004752,  -0.051575  
3.594333  ,  1.004429,  -0.049959  
3.644333  ,  1.004131,  -0.048372  
3.694333  ,  1.003858,  -0.046821  
3.744333  ,  1.003606,  -0.045310  
3.794333  ,  1.003374,  -0.043845  
3.844333  ,  1.003160,  -0.042426  
3.894333  ,  1.002962,  -0.041055  
3.944333  ,  1.002778,  -0.039732  
3.994333  ,  1.002608,  -0.038457  
4.044333  ,  1.002449,  -0.037229  
4.094333  ,  1.002301,  -0.036045  
4.144333  ,  1.002162,  -0.034906  
4.194333  ,  1.002033,  -0.033807  
4.244333  ,  1.001911,  -0.032748  
4.294333  ,  1.001797,  -0.031726  
4.344333  ,  1.001690,  -0.030740  
4.394333  ,  1.001589,  -0.029788  
4.444333  ,  1.001494,  -0.028868  
4.494333  ,  1.001405,  -0.027978  
4.544333  ,  1.001321,  -0.027117  
4.594333  ,  1.001242,  -0.026284  
4.644333  ,  1.001167,  -0.025477  
4.694333  ,  1.001097,  -0.024696  
4.744333  ,  1.001032,  -0.023939  
4.794333  ,  1.000970,  -0.023206  
4.844333  ,  1.000911,  -0.022496  
4.894333  ,  1.000857,  -0.021807  
4.944333  ,  1.000805,  -0.021140  
4.994333  ,  1.000757,  -0.020493  
5.044333  ,  1.000711,  -0.019867  
5.094333  ,  1.000668,  -0.019259  
5.144333  ,  1.000628,  -0.018670  
5.194333  ,  1.000590,  -0.018100  
5.244333  ,  1.000555,  -0.017546  
5.294333  ,  1.000522,  -0.017010  
5.344333  ,  1.000490,  -0.016491  
5.394333  ,  1.000461,  -0.015987  
5.444333  ,  1.000433,  -0.015499  
5.494333  ,  1.000407,  -0.015026  
5.544333  ,  1.000383,  -0.014567  
5.594333  ,  1.000360,  -0.014123  
5.644333  ,  1.000338,  -0.013692  
5.694333  ,  1.000318,  -0.013274  
5.744333  ,  1.000299,  -0.012870  
5.794333  ,  1.000281,  -0.012477  
5.844333  ,  1.000264,  -0.012097  
5.894333  ,  1.000248,  -0.011728  
5.944333  ,  1.000233,  -0.011371  
5.994333  ,  1.000219,  -0.011025  
6.044333  ,  1.000206,  -0.010689  
6.094333  ,  1.000194,  -0.010363  
6.144333  ,  1.000182,  -0.010048  
6.194333  ,  1.000171,  -0.009742  
6.244333  ,  1.000161,  -0.009445  
6.294333  ,  1.000151,  -0.009158  
6.344333  ,  1.000142,  -0.008879  
6.394333  ,  1.000134,  -0.008609  
6.444333  ,  1.000126,  -0.008347  
6.494333  ,  1.000118,  -0.008093  
6.544333  ,  1.000111,  -0.007846  
6.594333  ,  1.000105,  -0.007608  
6.644333  ,  1.000098,  -0.007376  
6.694333  ,  1.000092,  -0.007152  
6.744333  ,  1.000087,  -0.006934  
6.794333  ,  1.000082,  -0.006723  
6.844333  ,  1.000077,  -0.006519  
6.894333  ,  1.000072,  -0.006321  
6.944333  ,  1.000068,  -0.006128  
6.994333  ,  1.000064,  -0.005942  
7.044333  ,  1.000060,  -0.005761  
7.094333  ,  1.000056,  -0.005586  
7.144333  ,  1.000053,  -0.005416  
7.194333  ,  1.000050,  -0.005251  
7.244333  ,  1.000047,  -0.005092  
7.294333  ,  1.000044,  -0.004937  
7.344333  ,  1.000041,  -0.004787  
7.394333  ,  1.000039,  -0.004641  
7.444333  ,  1.000037,  -0.004500  
7.494333  ,  1.000034,  -0.004363  
7.544333  ,  1.000032,  -0.004231  
7.594333  ,  1.000030,  -0.004102  
7.644333  ,  1.000029,  -0.003977  
7.694333  ,  1.000027,  -0.003856  
7.744333  ,  1.000025,  -0.003739  
7.794333  ,  1.000024,  -0.003625  
7.844333  ,  1.000022,  -0.003515  
7.894333  ,  1.000021,  -0.003408  
7.944333  ,  1.000020,  -0.003305  
7.994333  ,  1.000019,  -0.003204  
8.044333  ,  1.000017,  -0.003107  
8.094333  ,  1.000016,  -0.003012  
8.144333  ,  1.000015,  -0.002921  
8.194333  ,  1.000014,  -0.002832  
8.244333  ,  1.000014,  -0.002746  
8.294333  ,  1.000013,  -0.002663  
8.344333  ,  1.000012,  -0.002582  
8.394333  ,  1.000011,  -0.002503  
8.444333  ,  1.000011,  -0.002427  
8.494333  ,  1.000010,  -0.002353  
8.544333  ,  1.000009,  -0.002282  
8.594333  ,  1.000009,  -0.002212  
8.644333  ,  1.000008,  -0.002145  
8.694333  ,  1.000008,  -0.002080  
8.744333  ,  1.000007,  -0.002017  
8.794333  ,  1.000007,  -0.001955  
8.844333  ,  1.000006,  -0.001896  
8.894333  ,  1.000006,  -0.001838  
