time  , ex  , ey  , ealpha  , evx  £¬eomega  
0.000000  ,  2.000000,  -2.000000,  0.785398,  -0.999997,  -0.938946
0.000284  ,  1.999799,  -2.000201,  0.785131,  -0.683404,  -1.573411
0.001705  ,  1.998795,  -2.000755,  0.782897,  -0.465614,  -1.253448
0.008810  ,  1.993798,  -2.001963,  0.774027,  -0.311441,  -0.560892
0.044333  ,  1.969207,  -2.002251,  0.754409,  -0.184939,  0.210305
0.094333  ,  1.934925,  -1.996264,  0.764200,  -0.074460,  0.901529
0.144333  ,  1.899535,  -1.984842,  0.807278,  0.021394,  1.433289
0.194333  ,  1.861255,  -1.968761,  0.875862,  0.105749,  1.772291
0.244333  ,  1.818475,  -1.948873,  0.960597,  0.182830,  1.920256
0.294333  ,  1.769995,  -1.926046,  1.052239,  0.257278,  1.901321
0.344333  ,  1.715102,  -1.901031,  1.142735,  0.333506,  1.746584
0.394333  ,  1.653533,  -1.874324,  1.225532,  0.415175,  1.497477
0.444333  ,  1.585365,  -1.846076,  1.296166,  0.504852,  1.193651
0.494333  ,  1.510892,  -1.816089,  1.351979,  0.603875,  0.858203
0.544333  ,  1.430570,  -1.783839,  1.391371,  0.712327,  0.508942
0.594333  ,  1.345017,  -1.748540,  1.413764,  0.829075,  0.160478
0.644333  ,  1.255036,  -1.709215,  1.419220,  0.951838,  -0.176652
0.694333  ,  1.161674,  -1.664794,  1.408315,  1.077258,  -0.494122
0.744333  ,  1.066268,  -1.614229,  1.382030,  1.201021,  -0.784449
0.794333  ,  0.970465,  -1.556634,  1.341715,  1.318029,  -1.040398
0.844333  ,  0.876192,  -1.491445,  1.289068,  1.422683,  -1.255143
0.894333  ,  0.785561,  -1.418571,  1.226120,  1.509292,  -1.422925
0.944333  ,  0.700700,  -1.338514,  1.155177,  1.572581,  -1.539896
0.994333  ,  0.623542,  -1.252410,  1.078723,  1.608274,  -1.604809
1.044333  ,  0.555594,  -1.161975,  0.999296,  1.613617,  -1.619376
1.094333  ,  0.497765,  -1.069341,  0.919340,  1.587771,  -1.588196
1.144333  ,  0.450263,  -0.976837,  0.841066,  1.531955,  -1.518287
1.194333  ,  0.412623,  -0.886731,  0.766339,  1.449321,  -1.418335
1.244333  ,  0.383814,  -0.801008,  0.696595,  1.344581,  -1.297798
1.294333  ,  0.362432,  -0.721223,  0.632812,  1.223463,  -1.166035
1.344333  ,  0.346902,  -0.648428,  0.575515,  1.092111,  -1.031551
1.394333  ,  0.335663,  -0.583180,  0.524821,  0.956521,  -0.901457
1.444333  ,  0.327312,  -0.525603,  0.480503,  0.822089,  -0.781144
1.494333  ,  0.320678,  -0.475477,  0.442080,  0.693308,  -0.674172
1.544333  ,  0.314863,  -0.432338,  0.408900,  0.573619,  -0.582337
1.594333  ,  0.309231,  -0.395561,  0.380223,  0.465383,  -0.505878
1.644333  ,  0.303378,  -0.364439,  0.355301,  0.369959,  -0.443802
1.694333  ,  0.297083,  -0.338235,  0.333432,  0.287839,  -0.394260
