time  , ref_x  , ref_y  , ref_alpha  , x  , y  , alpha  , ref_vx  , ref_vy  , ref_omega  , vx  , vy  , omega  
0.000000  ,  0.000000,  0.000000,  0.785398,  2.000000,  -2.000000,  1.570796,  1.000000,  0.000000,  0.000000,  0.000003,  0.000000,  -0.938946
0.000284  ,  0.000201,  0.000201,  0.785398,  2.000000,  -2.000000,  1.570530,  1.000000,  0.000000,  0.000000,  0.316596,  0.000000,  -1.573411
0.001705  ,  0.001206,  0.001206,  0.785398,  2.000001,  -1.999549,  1.568295,  1.000000,  0.000000,  0.000000,  0.534386,  0.000000,  -1.253448
0.008810  ,  0.006229,  0.006229,  0.785398,  2.000027,  -1.995734,  1.559426,  1.000000,  0.000000,  0.000000,  0.688559,  0.000000,  -0.560892
0.044333  ,  0.031348,  0.031348,  0.785398,  2.000556,  -1.970902,  1.539807,  1.000000,  0.000000,  0.000000,  0.815061,  0.000000,  0.210305
0.094333  ,  0.066704,  0.066704,  0.785398,  2.001629,  -1.929561,  1.549598,  1.000000,  0.000000,  0.000000,  0.925540,  0.000000,  0.901529
0.144333  ,  0.102059,  0.102059,  0.785398,  2.001594,  -1.882783,  1.592676,  1.000000,  0.000000,  0.000000,  1.021394,  0.000000,  1.433289
0.194333  ,  0.137414,  0.137414,  0.785398,  1.998670,  -1.831346,  1.661261,  1.000000,  0.000000,  0.000000,  1.105749,  0.000000,  1.772291
0.244333  ,  0.172770,  0.172770,  0.785398,  1.991245,  -1.776103,  1.745995,  1.000000,  0.000000,  0.000000,  1.182830,  0.000000,  1.920256
0.294333  ,  0.208125,  0.208125,  0.785398,  1.978120,  -1.717921,  1.837637,  1.000000,  0.000000,  0.000000,  1.257278,  0.000000,  1.901321
0.344333  ,  0.243480,  0.243480,  0.785398,  1.958582,  -1.657551,  1.928133,  1.000000,  0.000000,  0.000000,  1.333506,  0.000000,  1.746584
0.394333  ,  0.278836,  0.278836,  0.785398,  1.932369,  -1.595488,  2.010930,  1.000000,  0.000000,  0.000000,  1.415175,  0.000000,  1.497477
0.444333  ,  0.314191,  0.314191,  0.785398,  1.899556,  -1.531885,  2.081564,  1.000000,  0.000000,  0.000000,  1.504852,  0.000000,  1.193651
