time  , u_vx  , u_omega  
0.000000  ,  16.459282,  -20.375015  
0.000094  ,  229856.881010,  -149021.578719  
0.000094  ,  878194130.952053,  -568956250.134848  
0.000094  ,  2079404039820.020800,  -1346309968343.693600  
0.000094  ,  3487737620932019.500000,  -2256653901674975.500000  
0.000094  ,  3268539633436012500.000000,  -2113405371180907300.000000  
0.000094  ,  3128787755351686700.000000,  220045620576502240.000000  
0.000094  ,  1144876816058060700.000000,  1144876816058060500.000000  
0.000094  ,  782805697869486720.000000,  782805697869486590.000000  
0.000094  ,  535240773419502020.000000,  535240787611734590.000000  
0.000094  ,  365969097024426180.000000,  365969093778669890.000000  
0.000094  ,  195492302623753660.000000,  195492300896868930.000000  
0.000094  ,  99473271570509296.000000,  99473270830303904.000000  
0.000094  ,  47944659572336984.000000,  47944659246196888.000000  
0.000094  ,  21273426046016256.000000,  21273425906647108.000000  
0.000094  ,  8995326277936450.000000,  8995326220632023.000000  
0.000094  ,  3541210954203245.500000,  3541210931369701.500000  
0.000094  ,  1312568513134930.500000,  1312568504512043.500000  
0.000094  ,  456226650741130.750000,  456226647641238.560000  
0.000094  ,  148825609262397.840000,  148825608208442.370000  
0.000094  ,  45558996283668.289000,  45558995945558.125000  
0.000094  ,  13092623893403.348000,  13092623790925.820000  
0.000094  ,  3530982325722.003400,  3530982296472.538600  
0.000094  ,  893827052190.747560,  893826745221.423340  
0.000094  ,  212365706179.702390,  212365704380.376100  
0.000094  ,  47357892491.257355,  47357891964.693130  
0.000094  ,  9912380937.967854,  9912380718.768829  
0.000094  ,  1947345433.080348,  1947345282.730523  
0.000094  ,  359077538.325777,  359077402.828935  
0.000094  ,  62146223.571645,  62146091.001131  
0.000094  ,  10095437.782611,  10095305.754382  
0.000094  ,  1539340.987555,  1539209.057530  
0.000094  ,  220369.809577,  220237.894972  
0.000094  ,  30210.190937,  30078.279035  
0.000094  ,  4205.990463,  4074.079069  
0.000094  ,  649.933398,  518.022235  
0.000094  ,  163.644723,  31.734062  
0.000094  ,  97.144005,  -34.764468  
0.000097  ,  88.044847,  -43.852885  
0.000107  ,  86.774491,  -45.069740  
0.000158  ,  86.471338,  -45.107069  
0.000414  ,  85.802055,  -44.486198  
0.001503  ,  83.728862,  -41.742245  
0.004377  ,  80.798683,  -35.904051  
0.008731  ,  80.864973,  -29.147010  
0.014078  ,  82.827036,  -24.042287  
0.018917  ,  88.871107,  -17.162845  
0.020545  ,  131.064580,  25.145684  
0.021060  ,  225.980055,  120.150939  
0.021222  ,  432.439542,  326.188319  
0.021334  ,  440.963313,  334.251317  
0.021422  ,  405.654159,  298.514044  
0.021509  ,  308.552194,  201.084164  
0.021591  ,  253.912205,  146.472412  
0.021764  ,  135.470393,  27.418737  
0.021911  ,  132.866434,  24.863905  
0.022269  ,  92.948714,  -15.268497  
0.022619  ,  95.198931,  -12.892729  
0.023524  ,  82.089386,  -26.514598  
0.024303  ,  89.567908,  -18.852721  
0.025172  ,  27.287089,  45.081138  
0.026216  ,  -20.678504,  91.478411  
0.027403  ,  -50.568594,  122.283413  
0.028767  ,  -68.233090,  140.129391  
0.030308  ,  -80.130082,  152.644579  
0.032023  ,  -88.735841,  162.115291  
0.033898  ,  -95.809777,  170.360634  
0.035909  ,  -102.103115,  178.051445  
0.038026  ,  -107.991493,  185.494371  
0.040220  ,  -113.544338,  192.662617  
0.042462  ,  -118.719994,  199.428788  
0.044728  ,  -123.415341,  205.611137  
0.047000  ,  -127.518779,  211.034787  
0.049263  ,  -130.936029,  215.559740  
0.051509  ,  -133.606150,  219.098191  
0.053734  ,  -135.507751,  221.619919  
0.055937  ,  -136.659592,  223.150707  
0.058120  ,  -137.109457,  223.757244  
0.060284  ,  -136.942159,  223.554871  
0.062435  ,  -136.249649,  222.668014  
0.064578  ,  -135.135959,  221.236789  
0.066716  ,  -133.703883,  219.398703  
0.068856  ,  -132.049807,  217.281964  
0.071001  ,  -130.258777,  214.999036  
0.073156  ,  -128.401881,  212.643348  
0.075324  ,  -126.535176,  210.288055  
0.077507  ,  -124.699962,  207.986556  
0.079708  ,  -122.923996,  205.774224  
0.081929  ,  -121.223293,  203.670887  
0.084171  ,  -119.604222,  201.683666  
0.086433  ,  -118.065662,  199.809869  
0.088717  ,  -116.601047,  198.039720  
0.091023  ,  -115.200205,  196.358804  
0.093350  ,  -113.850925,  194.750149  
0.095697  ,  -112.540235,  193.195905  
0.098065  ,  -111.255388,  191.678652  
0.100453  ,  -109.984580,  190.182340  
0.102860  ,  -108.717424,  188.692904  
0.105287  ,  -107.445223,  187.198612  
0.107732  ,  -106.161065,  185.690188  
0.110196  ,  -104.859797,  184.160751  
0.112679  ,  -103.537890,  182.605632  
0.115180  ,  -102.193249,  181.022102  
0.117700  ,  -100.824976,  179.409054  
0.120240  ,  -99.433125,  177.766662  
0.122798  ,  -98.018460,  176.096051  
0.125377  ,  -96.582229,  174.398990  
0.127976  ,  -95.125969,  172.677625  
0.130595  ,  -93.651338,  170.934255  
0.133235  ,  -92.159986,  169.171154  
0.135897  ,  -90.653461,  167.390443  
0.138581  ,  -89.133139,  165.594001  
0.141287  ,  -87.600191,  163.783415  
0.144017  ,  -86.055565,  161.959960  
0.146770  ,  -84.499989,  160.124606  
0.149547  ,  -82.933988,  158.278036  
0.152348  ,  -81.357907,  156.420687  
0.155175  ,  -79.771942,  154.552784  
0.158026  ,  -78.176169,  152.674387  
0.160923  ,  -76.071784,  150.025705  
0.163880  ,  -73.716293,  147.012697  
0.166914  ,  -71.183918,  143.748949  
0.170042  ,  -68.578897,  140.392545  
0.173278  ,  -65.972975,  137.050337  
0.176637  ,  -63.418131,  133.799353  
0.180131  ,  -60.944468,  130.684041  
0.183771  ,  -58.564272,  127.722726  
0.187565  ,  -56.275678,  124.913115  
0.191523  ,  -54.066691,  122.238219  
0.195650  ,  -51.918788,  119.671576  
0.199952  ,  -49.809998,  117.181693  
0.204432  ,  -47.717346,  114.735559  
0.209096  ,  -45.618699,  112.301294  
0.213945  ,  -43.494037,  109.849991  
0.218984  ,  -41.326249,  107.356874  
0.224214  ,  -39.101528,  104.801881  
0.229640  ,  -36.809437,  102.169787  
0.235265  ,  -34.442752,  99.449991  
0.241092  ,  -31.997136,  96.636060  
0.247126  ,  -29.470717,  93.725131  
0.253370  ,  -26.863632,  90.717254  
0.259828  ,  -24.177584,  87.614740  
0.266504  ,  -21.415429,  84.421556  
0.273403  ,  -18.580843,  81.142825  
0.280526  ,  -15.678052,  77.784407  
0.287877  ,  -12.711645,  74.352615  
0.295458  ,  -9.686461,  70.854012  
0.303236  ,  -6.722779,  67.538501  
0.311186  ,  -3.751344,  64.249920  
0.319286  ,  -0.751661,  60.939937  
0.327520  ,  2.294986,  57.559389  
0.335875  ,  5.390544,  54.094468  
0.344343  ,  8.528966,  50.547117  
0.352918  ,  11.698107,  46.932943  
