time  , ex  , ey  , ealpha  , evx  , eomega  
0.000000  ,  1.000000  ,  -1.000000  ,  0.785398  ,  -0.800000  ,  0.000000  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.799927  ,  0.000014  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.799922  ,  0.000021  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.799917  ,  0.000028  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.799911  ,  0.000035  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.799904  ,  0.000044  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.798440  ,  0.001962  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.794196  ,  -0.025772  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.791293  ,  -0.038405  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.789309  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.787952  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.786741  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.785877  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.785247  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.784784  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.784451  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.784206  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.784029  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.783899  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.783805  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.783736  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.783686  ,  -0.043082  
0.000094  ,  0.999934  ,  -1.000048  ,  0.785398  ,  -0.783650  ,  -0.043082  
