time  , ref_x  , ref_y  , ref_alpha  , x  , y  , alpha  , ref_vx  , ref_vy  , ref_omega  , vx  , vy  , omega  
0.000000  ,  0.000000,  0.000000,  0.785398,  1.000000,  -1.000000,  1.570796,  1.000000,  0.000000,  0.000000,  0.200000,  0.000000,  0.000000
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.200073,  -0.000000,  0.000014
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.200078,  -0.000000,  0.000021
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.200083,  -0.000000,  0.000028
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.200089,  -0.000000,  0.000035
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.200096,  -0.000000,  0.000044
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.201560,  -0.000000,  0.001962
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.205804,  -0.000000,  -0.025772
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.208707,  -0.000000,  -0.038405
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.210691,  -0.000000,  -0.043082
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.212048,  -0.000000,  -0.043082
0.000094  ,  0.000066,  0.000066,  0.785398,  1.000000,  -0.999981,  1.570796,  1.000000,  0.000000,  0.000000,  0.213259,  -0.000000,  -0.043082
