time  , u_omega_l  , u_omega_r  
0.000000  ,  0.526516,  0.638038  
0.032000  ,  1.106722,  1.129511  
0.064000  ,  1.718145,  1.502370  
0.096000  ,  2.341704,  1.783962  
0.128000  ,  2.961950,  1.999955  
0.160000  ,  3.567092,  2.173431  
0.192000  ,  4.148652,  2.324173  
0.224000  ,  4.700811,  2.468231  
0.256000  ,  5.219615,  2.617788  
0.288000  ,  5.684094,  2.777293  
0.320000  ,  6.049948,  2.945451  
0.352000  ,  6.294194,  3.127804  
0.384000  ,  6.400000,  3.333884  
0.416000  ,  6.400000,  3.559752  
0.448000  ,  6.400000,  3.799091  
0.480000  ,  6.400000,  4.042674  
0.512000  ,  6.400000,  4.284035  
0.544000  ,  6.400000,  4.517670  
0.576000  ,  6.400000,  4.739756  
0.608000  ,  6.400000,  4.947684  
0.640000  ,  6.400000,  5.139266  
0.672000  ,  6.400000,  5.313883  
0.704000  ,  6.400000,  5.470613  
0.736000  ,  6.400000,  5.609718  
0.768000  ,  6.400000,  5.731304  
0.800000  ,  6.400000,  5.835801  
0.832000  ,  6.395858,  5.924518  
0.864000  ,  6.361734,  5.997935  
0.896000  ,  6.301017,  6.057260  
0.928000  ,  6.216999,  6.103618  
0.960000  ,  6.112842,  6.138103  
0.992000  ,  5.991346,  6.161419  
1.024000  ,  5.855304,  6.174627  
1.056000  ,  5.707357,  6.178802  
1.088000  ,  5.547485,  6.176528  
1.120000  ,  5.375968,  6.170039  
1.152000  ,  5.196027,  6.159610  
1.184000  ,  5.010641,  6.145528  
1.216000  ,  4.822545,  6.128072  
1.248000  ,  4.634216,  6.107509  
1.280000  ,  4.447886,  6.084077  
1.312000  ,  4.265534,  6.057989  
1.344000  ,  4.088901,  6.029426  
1.376000  ,  3.919491,  5.998543  
1.408000  ,  3.758580,  5.965469  
1.440000  ,  3.607231,  5.930322  
1.472000  ,  3.466296,  5.893209  
1.504000  ,  3.336434,  5.854238  
1.536000  ,  3.218121,  5.813523  
1.568000  ,  3.111659,  5.771191  
1.600000  ,  3.017193,  5.727385  
1.632000  ,  2.934723,  5.682269  
1.664000  ,  2.864115,  5.636026  
1.696000  ,  2.805119,  5.588858  
1.728000  ,  2.757380,  5.540989  
1.760000  ,  2.720454,  5.492655  
1.792000  ,  2.693822,  5.444104  
1.824000  ,  2.676903,  5.395592  
