time  , ex  , ey  , ealpha  , evx ,  evy , eomega  
0.000000  ,  -0.013950,  0.500000,  -0.005404,  -0.435950,  0.000000,  -0.168864
0.032000  ,  -0.026014,  0.499902,  -0.011600,  -0.377007,  0.000000,  -0.193638
0.064000  ,  -0.036345,  0.499704,  -0.019928,  -0.322872,  0.000000,  -0.260242
0.096000  ,  -0.045081,  0.499391,  -0.031311,  -0.273088,  0.000000,  -0.355715
0.128000  ,  -0.052343,  0.498932,  -0.046305,  -0.227095,  0.000000,  -0.468577
0.160000  ,  -0.058232,  0.498275,  -0.065156,  -0.184271,  0.000000,  -0.589093
0.192000  ,  -0.062832,  0.497356,  -0.087856,  -0.143995,  0.000000,  -0.709372
0.224000  ,  -0.066210,  0.496097,  -0.114202,  -0.105703,  0.000000,  -0.823309
0.256000  ,  -0.068423,  0.494409,  -0.143847,  -0.068943,  0.000000,  -0.926398
0.288000  ,  -0.069560,  0.492205,  -0.176216,  -0.034624,  0.000000,  -1.011544
0.320000  ,  -0.069795,  0.489409,  -0.210352,  -0.005253,  0.000000,  -1.066738
0.352000  ,  -0.069335,  0.485970,  -0.245040,  0.018210,  0.000000,  -1.084018
0.384000  ,  -0.068398,  0.481874,  -0.278833,  0.035364,  0.000000,  -1.056022
0.416000  ,  -0.067147,  0.477137,  -0.310608,  0.047786,  0.000000,  -0.992963
0.448000  ,  -0.065569,  0.471770,  -0.340244,  0.060950,  0.000000,  -0.926142
0.480000  ,  -0.063662,  0.465792,  -0.367705,  0.074347,  0.000000,  -0.858137
0.512000  ,  -0.061432,  0.459226,  -0.393009,  0.087622,  0.000000,  -0.790752
0.544000  ,  -0.058894,  0.452101,  -0.416226,  0.100472,  0.000000,  -0.725523
0.576000  ,  -0.056063,  0.444449,  -0.437458,  0.112687,  0.000000,  -0.663520
0.608000  ,  -0.052961,  0.436304,  -0.456833,  0.124123,  0.000000,  -0.605469
0.640000  ,  -0.049609,  0.427703,  -0.474497,  0.134660,  0.000000,  -0.551982
0.672000  ,  -0.046029,  0.418682,  -0.490600,  0.144264,  0.000000,  -0.503231
0.704000  ,  -0.042244,  0.409277,  -0.505303,  0.152884,  0.000000,  -0.459474
0.736000  ,  -0.038275,  0.399521,  -0.518763,  0.160535,  0.000000,  -0.420637
