time  , ref_x  , ref_y  , ref_alpha  , x  , y  , alpha  , ref_vx  , ref_vy  , ref_omega  , vx  , vy  , omega  
0.000000  ,  0.000000,  0.000000,  0.000000,  0.000000,  0.500000,  0.000000,  0.500000,  0.000000,  0.200000,  0.000000,  0.000000,  0.000000
0.032000  ,  0.016000,  0.000000,  0.006400,  0.002050,  0.500000,  0.000996,  0.500000,  0.000000,  0.200000,  0.064050,  0.000000,  0.031136
0.064000  ,  0.032000,  0.000102,  0.012800,  0.005985,  0.500004,  0.001200,  0.500000,  0.000000,  0.200000,  0.122993,  0.000000,  0.006362
0.096000  ,  0.047998,  0.000307,  0.019200,  0.011653,  0.500011,  -0.000728,  0.500000,  0.000000,  0.200000,  0.177128,  0.000000,  -0.060242
0.128000  ,  0.063995,  0.000614,  0.025600,  0.018915,  0.500005,  -0.005711,  0.500000,  0.000000,  0.200000,  0.226912,  0.000000,  -0.155715
0.160000  ,  0.079990,  0.001024,  0.032000,  0.027647,  0.499956,  -0.014305,  0.500000,  0.000000,  0.200000,  0.272905,  0.000000,  -0.268577
0.192000  ,  0.095982,  0.001536,  0.038400,  0.037750,  0.499811,  -0.026756,  0.500000,  0.000000,  0.200000,  0.315729,  0.000000,  -0.389093
0.224000  ,  0.111970,  0.002150,  0.044800,  0.049138,  0.499506,  -0.043056,  0.500000,  0.000000,  0.200000,  0.356005,  0.000000,  -0.509372
0.256000  ,  0.127954,  0.002867,  0.051200,  0.061744,  0.498963,  -0.063002,  0.500000,  0.000000,  0.200000,  0.394297,  0.000000,  -0.623309
0.288000  ,  0.143933,  0.003685,  0.057600,  0.075510,  0.498095,  -0.086247,  0.500000,  0.000000,  0.200000,  0.431057,  0.000000,  -0.726398
0.320000  ,  0.159907,  0.004607,  0.064000,  0.090347,  0.496812,  -0.112216,  0.500000,  0.000000,  0.200000,  0.465376,  0.000000,  -0.811544
0.352000  ,  0.175874,  0.005630,  0.070400,  0.106079,  0.495039,  -0.139952,  0.500000,  0.000000,  0.200000,  0.494747,  0.000000,  -0.866738
0.384000  ,  0.191834,  0.006755,  0.076800,  0.122500,  0.492726,  -0.168240,  0.500000,  0.000000,  0.200000,  0.518210,  0.000000,  -0.884018
0.416000  ,  0.207787,  0.007983,  0.083200,  0.139389,  0.489857,  -0.195633,  0.500000,  0.000000,  0.200000,  0.535364,  0.000000,  -0.856022
0.448000  ,  0.223732,  0.009313,  0.089600,  0.156584,  0.486450,  -0.221008,  0.500000,  0.000000,  0.200000,  0.547786,  0.000000,  -0.792963
0.480000  ,  0.239668,  0.010744,  0.096000,  0.174098,  0.482515,  -0.244244,  0.500000,  0.000000,  0.200000,  0.560950,  0.000000,  -0.726142
0.512000  ,  0.255594,  0.012278,  0.102400,  0.191932,  0.478070,  -0.265305,  0.500000,  0.000000,  0.200000,  0.574347,  0.000000,  -0.658137
0.544000  ,  0.271510,  0.013913,  0.108800,  0.210078,  0.473140,  -0.284209,  0.500000,  0.000000,  0.200000,  0.587622,  0.000000,  -0.590752
0.576000  ,  0.287415,  0.015651,  0.115200,  0.228522,  0.467752,  -0.301026,  0.500000,  0.000000,  0.200000,  0.600472,  0.000000,  -0.525523
0.608000  ,  0.303309,  0.017490,  0.121600,  0.247246,  0.461939,  -0.315858,  0.500000,  0.000000,  0.200000,  0.612687,  0.000000,  -0.463520
0.640000  ,  0.319191,  0.019431,  0.128000,  0.266230,  0.455735,  -0.328833,  0.500000,  0.000000,  0.200000,  0.624123,  0.000000,  -0.405469
0.672000  ,  0.335060,  0.021473,  0.134400,  0.285451,  0.449176,  -0.340097,  0.500000,  0.000000,  0.200000,  0.634660,  0.000000,  -0.351982
0.704000  ,  0.350916,  0.023617,  0.140800,  0.304887,  0.442299,  -0.349800,  0.500000,  0.000000,  0.200000,  0.644264,  0.000000,  -0.303231
0.736000  ,  0.366758,  0.025862,  0.147200,  0.324514,  0.435139,  -0.358103,  0.500000,  0.000000,  0.200000,  0.652884,  0.000000,  -0.259474
0.768000  ,  0.382585,  0.028209,  0.153600,  0.344310,  0.427731,  -0.365163,  0.500000,  0.000000,  0.200000,  0.660535,  0.000000,  -0.220637
0.800000  ,  0.398396,  0.030657,  0.160000,  0.364253,  0.420106,  -0.371138,  0.500000,  0.000000,  0.200000,  0.667222,  0.000000,  -0.186692
0.832000  ,  0.414192,  0.033206,  0.166400,  0.384322,  0.412296,  -0.376178,  0.500000,  0.000000,  0.200000,  0.672969,  0.000000,  -0.157517
0.864000  ,  0.429971,  0.035856,  0.172800,  0.404490,  0.404330,  -0.380389,  0.500000,  0.000000,  0.200000,  0.677621,  0.000000,  -0.131592
0.896000  ,  0.445733,  0.038607,  0.179200,  0.424688,  0.396253,  -0.383639,  0.500000,  0.000000,  0.200000,  0.679782,  0.000000,  -0.101568
0.928000  ,  0.461476,  0.041459,  0.185600,  0.444857,  0.388112,  -0.385817,  0.500000,  0.000000,  0.200000,  0.679705,  0.000000,  -0.068054
0.960000  ,  0.477202,  0.044412,  0.192000,  0.464948,  0.379952,  -0.386830,  0.500000,  0.000000,  0.200000,  0.677634,  0.000000,  -0.031654
0.992000  ,  0.492908,  0.047465,  0.198400,  0.484916,  0.371818,  -0.386604,  0.500000,  0.000000,  0.200000,  0.673802,  0.000000,  0.007053
1.024000  ,  0.508594,  0.050619,  0.204800,  0.504726,  0.363753,  -0.385085,  0.500000,  0.000000,  0.200000,  0.668402,  0.000000,  0.047482
1.056000  ,  0.524259,  0.053873,  0.211200,  0.524349,  0.355800,  -0.382232,  0.500000,  0.000000,  0.200000,  0.661646,  0.000000,  0.089151
1.088000  ,  0.539904,  0.057227,  0.217600,  0.543759,  0.347997,  -0.378020,  0.500000,  0.000000,  0.200000,  0.653739,  0.000000,  0.131622
1.120000  ,  0.555527,  0.060681,  0.224000,  0.562936,  0.340381,  -0.372400,  0.500000,  0.000000,  0.200000,  0.644821,  0.000000,  0.175621
1.152000  ,  0.571127,  0.064235,  0.230400,  0.581864,  0.332988,  -0.365306,  0.500000,  0.000000,  0.200000,  0.635030,  0.000000,  0.221695
1.184000  ,  0.586704,  0.067889,  0.236800,  0.600531,  0.325848,  -0.356697,  0.500000,  0.000000,  0.200000,  0.624560,  0.000000,  0.269021
1.216000  ,  0.602258,  0.071642,  0.243200,  0.618930,  0.318992,  -0.346558,  0.500000,  0.000000,  0.200000,  0.613589,  0.000000,  0.316846
1.248000  ,  0.617787,  0.075495,  0.249600,  0.637057,  0.312445,  -0.334895,  0.500000,  0.000000,  0.200000,  0.602284,  0.000000,  0.364487
1.280000  ,  0.633291,  0.079448,  0.256000,  0.654913,  0.306232,  -0.321732,  0.500000,  0.000000,  0.200000,  0.590795,  0.000000,  0.411325
1.312000  ,  0.648769,  0.083499,  0.262400,  0.672498,  0.300370,  -0.307115,  0.500000,  0.000000,  0.200000,  0.579258,  0.000000,  0.456805
1.344000  ,  0.664222,  0.087649,  0.268800,  0.689817,  0.294878,  -0.291101,  0.500000,  0.000000,  0.200000,  0.567794,  0.000000,  0.500432
1.376000  ,  0.679647,  0.091899,  0.275200,  0.706876,  0.289767,  -0.273764,  0.500000,  0.000000,  0.200000,  0.556508,  0.000000,  0.541771
1.408000  ,  0.695045,  0.096246,  0.281600,  0.723682,  0.285047,  -0.255190,  0.500000,  0.000000,  0.200000,  0.545492,  0.000000,  0.580446
1.440000  ,  0.710415,  0.100693,  0.288000,  0.740242,  0.280727,  -0.235473,  0.500000,  0.000000,  0.200000,  0.534823,  0.000000,  0.616136
1.472000  ,  0.725756,  0.105237,  0.294400,  0.756565,  0.276811,  -0.214719,  0.500000,  0.000000,  0.200000,  0.524565,  0.000000,  0.648579
1.504000  ,  0.741068,  0.109880,  0.300800,  0.772659,  0.273301,  -0.193037,  0.500000,  0.000000,  0.200000,  0.514773,  0.000000,  0.677565
1.536000  ,  0.756349,  0.114620,  0.307200,  0.788534,  0.270198,  -0.170543,  0.500000,  0.000000,  0.200000,  0.505487,  0.000000,  0.702940
1.568000  ,  0.771600,  0.119459,  0.313600,  0.804199,  0.267500,  -0.147355,  0.500000,  0.000000,  0.200000,  0.496740,  0.000000,  0.724605
