time  , u_omega_l  , u_omega_r  
0.000000  ,  -0.069391,  0.895417  
0.032000  ,  -0.057982,  1.635581  
0.064000  ,  0.016337,  2.237434  
0.096000  ,  0.138752,  2.718172  
0.128000  ,  0.296373,  3.094247  
0.160000  ,  0.477891,  3.380967  
0.192000  ,  0.673566,  3.592374  
0.224000  ,  0.875269,  3.741234  
0.256000  ,  1.076498,  3.839063  
0.288000  ,  1.272305,  3.896149  
0.320000  ,  1.459162,  3.921571  
0.352000  ,  1.634783,  3.923217  
0.384000  ,  1.797903,  3.907822  
0.416000  ,  1.948073,  3.881020  
0.448000  ,  2.085447,  3.847425  
0.480000  ,  2.210606,  3.810720  
0.512000  ,  2.324402,  3.773767  
0.544000  ,  2.427841,  3.738718  
0.576000  ,  2.521988,  3.707128  
0.608000  ,  2.607901,  3.680052  
0.640000  ,  2.686586,  3.658148  
0.672000  ,  2.758970,  3.641754  
0.704000  ,  2.825883,  3.630967  
0.736000  ,  2.888055,  3.625694  
0.768000  ,  2.946115,  3.625709  
0.800000  ,  3.000597,  3.630692  
0.832000  ,  3.051946,  3.640258  
0.864000  ,  3.100532,  3.653986  
0.896000  ,  3.146654,  3.671436  
0.928000  ,  3.190554,  3.692164  
0.960000  ,  3.232426,  3.715735  
0.992000  ,  3.272424,  3.741726  
1.024000  ,  3.310669,  3.769739  
1.056000  ,  3.347260,  3.799397  
1.088000  ,  3.382276,  3.830350  
1.120000  ,  3.415782,  3.862276  
1.152000  ,  3.447836,  3.894880  
1.184000  ,  3.478488,  3.927893  
1.216000  ,  3.507787,  3.961076  
1.248000  ,  3.535780,  3.994211  
1.280000  ,  3.562515,  4.027108  
1.312000  ,  3.588042,  4.059598  
1.344000  ,  3.612414,  4.091532  
1.376000  ,  3.635684,  4.122784  
1.408000  ,  3.657909,  4.153245  
1.440000  ,  3.679150,  4.182823  
1.472000  ,  3.699466,  4.211441  
1.504000  ,  3.718922,  4.239039  
1.536000  ,  3.737579,  4.265568  
1.568000  ,  3.755503,  4.290991  
1.600000  ,  3.772754,  4.315283  
1.632000  ,  3.789397,  4.338429  
1.664000  ,  3.805491,  4.360422  
1.696000  ,  3.821094,  4.381262  
1.728000  ,  3.836262,  4.400958  
1.760000  ,  3.851047,  4.419525  
1.792000  ,  3.865499,  4.436981  
1.824000  ,  3.879663,  4.453351  
1.856000  ,  3.893581,  4.468664  
1.888000  ,  3.907289,  4.482950  
1.920000  ,  3.920822,  4.496244  
1.952000  ,  3.934209,  4.508583  
1.984000  ,  3.947476,  4.520005  
2.016000  ,  3.960642,  4.530550  
2.048000  ,  3.973727,  4.540257  
2.080000  ,  3.986743,  4.549168  
2.112000  ,  3.999702,  4.557325  
2.144000  ,  4.012609,  4.564767  
2.176000  ,  4.025470,  4.571536  
2.208000  ,  4.038285,  4.577671  
2.240000  ,  4.051054,  4.583212  
2.272000  ,  4.063773,  4.588197  
2.304000  ,  4.076436,  4.592663  
2.336000  ,  4.089037,  4.596645  
2.368000  ,  4.101568,  4.600178  
2.400000  ,  4.114018,  4.603295  
2.432000  ,  4.126378,  4.606027  
2.464000  ,  4.138636,  4.608404  
2.496000  ,  4.150781,  4.610454  
2.528000  ,  4.162801,  4.612204  
2.560000  ,  4.174685,  4.613679  
2.592000  ,  4.186419,  4.614902  
2.624000  ,  4.197993,  4.615895  
2.656000  ,  4.209396,  4.616679  
2.688000  ,  4.220616,  4.617272  
2.720000  ,  4.231643,  4.617693  
2.752000  ,  4.242469,  4.617957  
2.784000  ,  4.253083,  4.618079  
2.816000  ,  4.263478,  4.618073  
2.848000  ,  4.273647,  4.617952  
2.880000  ,  4.283583,  4.617727  
2.912000  ,  4.293281,  4.617408  
2.944000  ,  4.302736,  4.617005  
2.976000  ,  4.311943,  4.616526  
3.008000  ,  4.320900,  4.615980  
3.040000  ,  4.329605,  4.615373  
3.072000  ,  4.338057,  4.614711  
3.104000  ,  4.346253,  4.614001  
3.136000  ,  4.354196,  4.613247  
3.168000  ,  4.361884,  4.612454  
3.200000  ,  4.369321,  4.611626  
3.232000  ,  4.376507,  4.610767  
3.264000  ,  4.383445,  4.609880  
3.296000  ,  4.390140,  4.608968  
3.328000  ,  4.396593,  4.608035  
3.360000  ,  4.402809,  4.607082  
3.392000  ,  4.408793,  4.606112  
3.424000  ,  4.414549,  4.605127  
3.456000  ,  4.420082,  4.604128  
3.488000  ,  4.425398,  4.603118  
3.520000  ,  4.430502,  4.602099  
3.552000  ,  4.435399,  4.601071  
3.584000  ,  4.440097,  4.600036  
3.616000  ,  4.444599,  4.598996  
3.648000  ,  4.448914,  4.597951  
3.680000  ,  4.453046,  4.596904  
3.712000  ,  4.457002,  4.595855  
3.744000  ,  4.460788,  4.594805  
3.776000  ,  4.464410,  4.593755  
3.808000  ,  4.467874,  4.592707  
3.840000  ,  4.471185,  4.591662  
3.872000  ,  4.474351,  4.590620  
3.904000  ,  4.477376,  4.589582  
3.936000  ,  4.480266,  4.588550  
3.968000  ,  4.483027,  4.587524  
