time  , ref_x  , ref_y  , ref_alpha  , x  , y  , alpha  , ref_vx  , ref_vy  , ref_omega  , vx  , vy  , omega  
0.000000  ,  0.000000,  0.000000,  0.785398,  0.000000,  0.500000,  0.000000,  0.500000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
0.032000  ,  0.011314,  0.011314,  0.785398,  0.001454,  0.500000,  0.008620,  0.500000,  0.000000,  0.000000,  0.045431,  0.000000,  0.269363
0.064000  ,  0.022627,  0.022627,  0.785398,  0.004230,  0.500024,  0.023750,  0.500000,  0.000000,  0.000000,  0.086768,  0.000000,  0.472822
0.096000  ,  0.033941,  0.033941,  0.785398,  0.008196,  0.500118,  0.043593,  0.500000,  0.000000,  0.000000,  0.123957,  0.000000,  0.620103
0.128000  ,  0.045255,  0.045255,  0.785398,  0.013219,  0.500337,  0.066638,  0.500000,  0.000000,  0.000000,  0.157131,  0.000000,  0.720143
0.160000  ,  0.056569,  0.056569,  0.785398,  0.019173,  0.500735,  0.091634,  0.500000,  0.000000,  0.000000,  0.186484,  0.000000,  0.781132
0.192000  ,  0.067882,  0.067882,  0.785398,  0.025937,  0.501356,  0.117570,  0.500000,  0.000000,  0.000000,  0.212237,  0.000000,  0.810503
0.224000  ,  0.079196,  0.079196,  0.785398,  0.033393,  0.502237,  0.143647,  0.500000,  0.000000,  0.000000,  0.234627,  0.000000,  0.814896
0.256000  ,  0.090510,  0.090510,  0.785398,  0.041434,  0.503400,  0.169251,  0.500000,  0.000000,  0.000000,  0.253908,  0.000000,  0.800142
0.288000  ,  0.101823,  0.101823,  0.785398,  0.049962,  0.504857,  0.193932,  0.500000,  0.000000,  0.000000,  0.270356,  0.000000,  0.771274
0.320000  ,  0.113137,  0.113137,  0.785398,  0.058888,  0.506610,  0.217374,  0.500000,  0.000000,  0.000000,  0.284265,  0.000000,  0.732545
0.352000  ,  0.124451,  0.124451,  0.785398,  0.068135,  0.508653,  0.239373,  0.500000,  0.000000,  0.000000,  0.295940,  0.000000,  0.687475
0.384000  ,  0.135765,  0.135765,  0.785398,  0.077638,  0.510972,  0.259818,  0.500000,  0.000000,  0.000000,  0.305690,  0.000000,  0.638903
